Zeit;Kanal A
(ms);(mV)

21,69399977;-4,51402500
21,69899977;-3,94992600
21,70399977;-3,76168800
21,70899977;-3,38582700
21,71399977;-3,38582700
21,71899977;-3,76168800
21,72399977;-2,63348900
21,72899977;-3,00935000
21,73399977;-1,88053600
21,73899977;-2,06877400
21,74399977;-2,25701300
21,74899977;-1,12819900
21,75399977;-2,06877400
21,75899977;-1,69291300
21,76399977;0,56409940
21,76899977;-2,06877400
21,77399977;-2,44525100
21,77899977;-2,63348900
21,78399977;-3,00935000
21,78899977;-3,19758800
21,79399977;-3,19758800
21,79899977;-3,19758800
21,80399977;-3,57345000
21,80899977;-3,57345000
21,81399977;-4,89050100
21,81899977;-4,13816400
21,82399977;-4,32640200
21,82899977;-3,38582700
21,83399977;-4,51402500
21,83899976;-3,38582700
21,84399976;-4,51402500
21,84899976;-4,70226400
21,85399976;-4,51402500
21,85899976;-4,32640200
21,86399976;-4,32640200
21,86899976;-4,13816400
21,87399976;-4,32640200
21,87899976;-4,32640200
21,88399976;-3,38582700
21,88899976;-3,94992600
21,89399976;-3,94992600
21,89899976;-3,57345000
21,90399976;-3,00935000
21,90899976;-3,76168800
21,91399976;-3,38582700
21,91899976;-2,82111200
21,92399976;-3,19758800
21,92899976;-3,57345000
21,93399976;-3,19758800
21,93899976;-2,63348900
21,94399976;-3,19758800
21,94899976;-3,57345000
21,95399976;-3,38582700
21,95899976;-3,38582700
21,96399976;-3,00935000
21,96899976;-3,57345000
21,97399976;-2,44525100
